"id","parent_path","name","complete_name","parent_id","create_uid","create_date","write_uid","write_date","removal_strategy_id","category_code","category_level","account_intransit","account_srt_id","property_stock_reval_account_input_categ_id","property_stock_reval_account_output_categ_id","allow_negative_stock"
875,"556/875/",Rack Option Screw Cage Nut,Rack System Option / Rack Option Screw Cage Nut,556,2,2022-12-19 08:18:49.134,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4053,"556/4053/",Rack Option Telescopic Drawer,Rack System Option / Rack Option Telescopic Drawer,556,1,2022-12-19 08:19:54.401,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
823,"556/823/",Rack Option Wire Management,Rack System Option / Rack Option Wire Management,556,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
512,"512/",Rdx Backup,Rdx Backup,,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
513,"512/513/",Rdx Backup External,Rdx Backup / Rdx Backup External,512,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3790,"512/3790/",Rdx Backup Internal,Rdx Backup / Rdx Backup Internal,512,1,2022-12-19 08:19:49.818,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2697,"2697/","Refill Pen, Pensil & Spidol","Refill Pen, Pensil & Spidol",,1,2022-12-19 08:19:22.512,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3823,"2697/3823/",Isi Pensil / Lead,"Refill Pen, Pensil & Spidol / Isi Pensil / Lead",2697,1,2022-12-19 08:19:49.818,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3303,"2697/3303/",Tinta Pulpen,"Refill Pen, Pensil & Spidol / Tinta Pulpen",2697,1,2022-12-19 08:19:33.426,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2698,"2697/2698/",Tinta Spidol,"Refill Pen, Pensil & Spidol / Tinta Spidol",2697,1,2022-12-19 08:19:22.512,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
145,"145/",Registration,Registration,,1,2022-12-19 08:18:23.940,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
146,"145/146/",University and Colleges,Registration / University and Colleges,145,1,2022-12-19 08:18:23.940,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
521,"521/",Remote Control,Remote Control,,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
985,"521/985/",Boat Remote Control,Remote Control / Boat Remote Control,521,1,2022-12-19 08:18:52.771,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1552,"521/1552/",Car Remote Control,Remote Control / Car Remote Control,521,1,2022-12-19 08:19:03.460,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2322,"521/2322/",Contruction Vehicle,Remote Control / Contruction Vehicle,521,1,2022-12-19 08:19:16.621,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4148,"521/4148/",Emergency Vehicle,Remote Control / Emergency Vehicle,521,1,2022-12-19 08:19:55.979,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3780,"521/3780/",Farm Vehicle,Remote Control / Farm Vehicle,521,1,2022-12-19 08:19:48.232,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3865,"521/3865/",Military Vehicle,Remote Control / Military Vehicle,521,1,2022-12-19 08:19:49.818,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1365,"521/1365/",Motorcycle Remote Control,Remote Control / Motorcycle Remote Control,521,1,2022-12-19 08:19:00.014,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3777,"521/3777/",Plane and Helicopter Remote Control,Remote Control / Plane and Helicopter Remote Control,521,1,2022-12-19 08:19:48.232,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3711,"521/3711/",Rocket and Space Ship Remote Control,Remote Control / Rocket and Space Ship Remote Control,521,1,2022-12-19 08:19:48.232,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
522,"521/522/",Suv,Remote Control / Suv,521,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3702,"521/3702/",Train Remote Control,Remote Control / Train Remote Control,521,1,2022-12-19 08:19:48.232,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4165,"521/4165/",Truck Remote Control,Remote Control / Truck Remote Control,521,1,2022-12-19 08:19:55.979,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1269,"1269/",Respiratory,Respiratory,,1,2022-12-19 08:18:56.933,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1732,"1269/1732/",Catridge & Filters,Respiratory / Catridge & Filters,1269,1,2022-12-19 08:19:05.236,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2921,"1269/2921/",Disposable Respirators,Respiratory / Disposable Respirators,1269,1,2022-12-19 08:19:27.542,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2935,"1269/2935/",Full Face Respirators,Respiratory / Full Face Respirators,1269,1,2022-12-19 08:19:27.542,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2028,"1269/2028/",Half Mask Respirators,Respiratory / Half Mask Respirators,1269,1,2022-12-19 08:19:10.481,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1270,"1269/1270/",Procedural Masks,Respiratory / Procedural Masks,1269,1,2022-12-19 08:18:56.933,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
